leaid,leanm,grade,year,achv,achvz,math,rla,totenrl,perasn,perblk,perhsp,perind,perwht,perecd,perell,Hperasn,Hperblk,Hperhsp,Hperind,Hperwht,Hperecd,Hperell,LOCALE_VARS,Locale4,Locale3,BlackBeltSm,DIST_FACTORS,DiSTR,DiInstAid,DiGuidC,DiLib,DiAdmin,DiRevTotal,DiRevLocal,DiExpTotal,DiExpInst,DiExpSuppt,DiExpPupl,DiExpPlant,DiExpBus,DiSalAll,DiSalReg,DiSalInst,DiSalPlant,DiSalBus,DiSalPupl,hsecdnec,rsecdnec,COUNTY_FACTORS,CmPoverty,CmUnemp,CmSglPrnt,CmCollege,snapall,FoodDesert,CT_EconType,CT_LowEducation,CT_PopLoss,CT_RetireDest,CT_PersistPoverty,CT_PersistChildPoverty,HEALTH_FACTORS,H_FCTR_ZS,HBehaveZS,ClinCareZS,SocEcnZS,PhysEnvZS
100005,ALBERTVILLE CITY,7,2011,-.23827273,.30488017,-.069272146,-.16900058,306,.0032679739,.029411765,.3137255,.0032679739,.65032679,.65245903,.14433984,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.057971016,.0050724638,.0019323671,.0016908213,.0028985508,8604.1064,2143.4783,8546.1357,4691.3042,2875.1208,526.08698,846.13525,365.45892,4840.3384,2370.5315,3166.425,221.73914,165.70049,316.18356,0,0,,.33552149,.056878529,.18409532,.14918104,.13900609,1,Maufacturing,1,0,0,0,0,,-.024611762,.072543681,.59111291,-.27316001,-.28509259
100005,ALBERTVILLE CITY,8,2011,-.62787336,-.23868361,-.44204009,-.18583326,262,.0038167939,.019083969,.29389313,0,.68320608,.63295883,.14433984,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.057971016,.0050724638,.0019323671,.0016908213,.0028985508,8604.1064,2143.4783,8546.1357,4691.3042,2875.1208,526.08698,846.13525,365.45892,4840.3384,2370.5315,3166.425,221.73914,165.70049,316.18356,0,0,,.33552149,.056878529,.18409532,.14918104,.13900609,1,Maufacturing,1,0,0,0,0,,-.024611762,.072543681,.59111291,-.27316001,-.28509259
100005,ALBERTVILLE CITY,3,2012,.36728129,1.0947665,.41947833,-.052197039,342,.0048154094,.011235955,.39807382,.0032102726,.58266455,.70140845,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,4,2012,-.42804736,-.0046331245,-.24681155,-.18123582,297,.0048154094,.011235955,.39807382,.0032102729,.58266455,.70739549,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,5,2012,-.1162874,.4263193,.093828633,-.21011603,302,.0050335568,.015100672,.37080538,0,.60906041,.68181819,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,6,2012,-.2930612,.1819611,-.12974058,-.16332062,299,.0066889632,.013377926,.35785952,0,.62207359,.70508474,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,7,2012,-.4283658,-.0050733075,-.18807824,-.24028756,302,.0033112583,.029801324,.28145695,0,.68543047,.61616164,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,8,2012,-.67153502,-.34121129,-.44444779,-.22708726,305,.0032786885,.019672131,.30819672,.0065573771,.6622951,.66666669,.14371981,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.06173677,.0049762912,.0019209895,.0015880375,.004738051,8641.791,2365.6716,8621.2119,4664.1792,2824.0615,479.19495,879.24017,357.07825,4636.5898,2219.8101,3034.8259,212.79964,161.23926,290.5925,0,0,,.38473842,.075494118,.17791787,.1292658,.15551756,1,Maufacturing,1,0,0,0,0,,.030200569,.72069412,.22025014,-.34498948,-.47032747
100005,ALBERTVILLE CITY,3,2013,-.1167958,.42426008,.016100161,-.13289596,369,.0014184397,.015602836,.40000001,.0014184397,.58156025,.72311831,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,4,2013,-.4263016,.0077088485,-.24351773,-.18278387,355,.0014184396,.015602837,.40000001,.0014184396,.58156025,.66193181,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,5,2013,-1.0080481,-.77524,-.62846893,-.3795791,309,.0049099838,.019639935,.38134205,.0016366611,.59247136,.68387097,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,6,2013,-.74373704,-.41951457,-.46800932,-.27572772,315,.0049099838,.019639935,.38134205,.0016366612,.59247136,.69841272,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,7,2013,-.30214381,.17480774,-.09788017,-.20426366,311,.0049342103,.0098684207,.33881578,0,.64638162,.6878981,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,8,2013,-.88069975,-.60384709,-.46267027,-.41802952,302,.0033112583,.013245033,.31125829,0,.67218542,.57388318,,0,0,0,0,1,1,1,,Town,Sub/Twn,0,,.05495438,.0048801186,.0019096117,.0014852536,.0065775514,9309.3574,2841.7144,9149.374,4659.0283,2839.1682,562.69891,825.16443,378.52747,4625.9282,2234.8823,3055.1665,202.20667,173.56248,312.32761,0,0,,.25163656,.07505928,.20785446,.12483668,.16708066,1,Maufacturing,1,0,0,0,0,,.23516007,.62820709,1.0179142,-.5284757,.13479856
100005,ALBERTVILLE CITY,3,2014,-.56932122,-.17514661,-.4476878,-.1216334,408,.0052219317,.02610966,.41644913,.0013054829,.55091381,.77750611,.11648631,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.053776436,.0038267875,.0020140987,.0014098691,.0060422961,9167.9756,2518.2275,9569.5869,4584.6929,2815.3071,529.1037,758.30817,373.21249,4591.7422,2213.8972,3001.0071,196.97885,177.44209,298.69083,0,0,,.39522949,.059205186,.20281118,.14113997,.18970418,1,Maufacturing,1,0,0,0,0,,.19587779,.68412113,.65028805,-.1880292,-1.0307789
100005,ALBERTVILLE CITY,4,2014,-.57087386,-.17747486,-.44404545,-.12682843,372,.0052219322,.02610966,.4164491,.001305483,.55091381,.73421055,.11648631,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.053776436,.0038267875,.0020140987,.0014098691,.0060422961,9167.9756,2518.2275,9569.5869,4584.6929,2815.3071,529.1037,758.30817,373.21249,4591.7422,2213.8972,3001.0071,196.97885,177.44209,298.69083,0,0,,.39522949,.059205186,.20281118,.14113997,.18970418,1,Maufacturing,1,0,0,0,0,,.19587779,.68412113,.65028805,-.1880292,-1.0307789
100005,ALBERTVILLE CITY,5,2014,-.63613844,-.27534175,-.44337487,-.19276355,357,.0030534351,.016793894,.3908397,.0045801527,.58473283,.71060175,.11648631,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.053776436,.0038267875,.0020140987,.0014098691,.0060422961,9167.9756,2518.2275,9569.5869,4584.6929,2815.3071,529.1037,758.30817,373.21249,4591.7422,2213.8972,3001.0071,196.97885,177.44209,298.69083,0,0,,.39522949,.059205186,.20281118,.14113997,.18970418,1,Maufacturing,1,0,0,0,0,,.19587779,.68412113,.65028805,-.1880292,-1.0307789
100005,ALBERTVILLE CITY,6,2014,-.58227599,-.19457281,-.21044992,-.37182608,322,.0030534351,.016793894,.3908397,.0045801527,.58473283,.72812498,.11648631,0,0,0,0,1,1,0,,Town,Sub/Twn,0,,.053776436,.0038267875,.0020140987,.0014098691,.0060422961,9167.9756,2518.2275,9569.5869,4584.6929,2815.3071,529.1037,758.30817,373.21249,4591.7422,2213.8972,3001.0071,196.97885,177.44209,298.69083,0,0,,.39522949,.059205186,.20281118,.14113997,.18970418,1,Maufacturing,1,0,0,0,0,,.19587779,.68412113,.65028805,-.1880292,-1.0307789
100005,ALBERTVILLE CITY,3,2015,-.68698275,-.23310266,-.38749164,-.29949114,419,.0050314465,.035220128,.4616352,.0012578616,.49685532,.56801909,.12064451,0,0,0,0,0,1,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
